"","V1","V2"
"1",2,5
"2",3,5
"3",4,6
"4",4,7
"5",1,8
"6",6,10
"7",8,10
"8",7,11
"9",10,11
"10",10,12
"11",11,13
"12",11,15
"13",12,16
"14",9,17
"15",5,19
"16",14,19
"17",17,19
"18",5,20
"19",14,20
"20",19,20
"21",18,22
"22",12,23
"23",13,23
"24",15,23
"25",12,24
"26",14,24
"27",15,25
"28",20,26
"29",21,26
"30",23,27
"31",24,27
"32",16,28
"33",24,28
"34",27,29
"35",18,30
"36",28,30
"37",13,32
"38",17,32
"39",28,34
"40",18,35
"41",30,35
"42",31,35
"43",26,36
"44",29,37
"45",32,37
"46",33,37
"47",34,37
