"","V1","V2"
"1",1,4
"2",5,6
"3",2,8
"4",4,9
"5",8,9
"6",4,10
"7",3,11
"8",5,12
"9",6,12
"10",7,13
"11",12,13
"12",7,14
"13",10,17
"14",13,17
"15",15,18
"16",2,19
"17",11,19
"18",18,19
"19",12,20
"20",13,20
"21",17,20
"22",2,21
"23",17,21
"24",18,22
"25",18,23
"26",19,24
"27",8,25
"28",19,26
"29",25,26
"30",16,27
"31",20,27
"32",26,28
"33",24,29
"34",14,30
"35",25,32
"36",20,34
"37",27,34
"38",21,35
"39",28,35
"40",33,35
"41",27,37
"42",34,37
"43",28,38
"44",21,39
"45",36,39
"46",21,40
"47",35,40
"48",38,40
"49",32,41
"50",33,41
"51",34,42
"52",34,43
"53",39,43
"54",30,44
"55",40,45
"56",44,45
"57",33,46
"58",35,46
"59",36,46
"60",41,47
"61",46,47
"62",47,48
"63",46,49
"64",45,50
"65",24,51
"66",31,51
"67",38,51
"68",50,51
"69",49,52
"70",49,53
"71",50,54
"72",51,55
"73",44,56
"74",45,56
"75",51,56
