"","x"
"1",7.144
"2",0
"3",8.324
"4",10.741
"5",10.793
"6",1.413
"7",10.389
"8",0.198
"9",10.59
"10",0.328
"11",1.822
"12",11.93
"13",9.339
"14",0.765
"15",0
"16",0
"17",1.584
"18",7.707
"19",7.458
"20",7.859
"21",1.006
"22",1.06
"23",0.196
"24",8.458
"25",9.053
"26",8.907
"27",11.232
"28",7.339
"29",11.088
"30",0.57
"31",8.042
"32",8.953
"33",11.682
"34",7.363
"35",8.2
"36",10.171
"37",9.608
"38",10.354
"39",10.279
"40",8.385
"41",6.07
"42",0.132
"43",0.039
"44",10.47
"45",9.957
"46",8.606
"47",0.182
"48",6.565
