"","x"
"1",7.144
"2",10.573
"3",10.29
"4",8.324
"5",10.741
"6",10.793
"7",1.413
"8",12.449
"9",10.389
"10",13.86
"11",10.59
"12",0.328
"13",1.822
"14",11.93
"15",9.339
"16",1.584
"17",7.707
"18",7.458
"19",13.105
"20",7.859
"21",13.945
"22",9.053
"23",12.115
"24",8.907
"25",11.232
"26",13.492
"27",7.339
"28",13.453
"29",12.567
"30",11.088
"31",8.042
"32",8.953
"33",12.95
"34",11.682
"35",7.363
"36",8.2
"37",10.171
"38",9.608
"39",10.354
"40",10.279
"41",8.385
"42",6.07
"43",10.47
"44",9.957
"45",6.565
