"","V1","V2"
"1",1,2
"2",2,5
"3",3,6
"4",5,7
"5",7,8
"6",6,10
"7",9,10
"8",6,11
"9",12,13
"10",10,15
"11",14,16
"12",4,17
"13",8,17
"14",13,17
"15",2,18
"16",12,18
"17",17,18
"18",12,19
"19",11,20
"20",15,20
"21",11,21
"22",18,21
"23",15,22
"24",16,22
"25",20,23
"26",21,23
"27",22,25
"28",23,25
"29",24,26
"30",25,27
"31",26,27
"32",17,28
"33",28,29
"34",25,30
"35",7,31
"36",18,31
"37",27,31
"38",28,31
"39",27,32
"40",31,32
"41",31,33
"42",30,34
"43",28,35
"44",33,35
"45",18,36
"46",23,36
"47",31,36
"48",34,36
"49",32,37
"50",34,37
