"","V1","V2"
"1",1,3
"2",4,5
"3",2,6
"4",3,7
"5",6,7
"6",3,8
"7",4,8
"8",5,9
"9",7,11
"10",13,15
"11",14,16
"12",10,17
"13",11,17
"14",8,18
"15",10,18
"16",18,19
"17",11,20
"18",16,20
"19",14,21
"20",15,21
"21",13,22
"22",15,22
"23",21,22
"24",17,23
"25",20,23
"26",17,24
"27",19,24
"28",5,25
"29",19,25
"30",9,26
"31",12,26
"32",24,27
"33",25,27
"34",26,27
"35",22,28
"36",23,28
"37",27,28
"38",22,29
"39",29,30
"40",26,31
"41",28,31
"42",30,31
"43",26,32
"44",31,32
"45",26,33
"46",32,34
"47",27,35
"48",33,35
"49",34,35
