"","V1","V2"
"1",1,4
"2",3,4
"3",2,9
"4",2,10
"5",2,11
"6",8,12
"7",3,13
"8",5,13
"9",5,14
"10",6,14
"11",4,15
"12",9,16
"13",9,17
"14",12,17
"15",13,19
"16",16,19
"17",14,20
"18",15,22
"19",19,22
"20",20,23
"21",7,25
"22",18,25
"23",20,28
"24",22,28
"25",21,29
"26",28,29
"27",16,30
"28",19,30
"29",20,31
"30",23,31
"31",24,32
"32",25,33
"33",26,33
"34",30,33
"35",24,34
"36",27,34
"37",18,35
"38",25,35
"39",12,36
"40",27,36
"41",17,37
"42",19,37
"43",34,38
"44",36,38
"45",37,38
"46",31,39
"47",32,39
"48",38,39
"49",29,40
"50",31,41
"51",33,42
"52",35,43
"53",42,43
"54",41,44
"55",41,45
"56",44,45
"57",37,46
"58",39,46
"59",45,46
"60",42,47
"61",43,47
"62",37,48
"63",46,48
"64",45,49
"65",37,51
"66",48,52
"67",52,53
"68",38,54
"69",51,54
"70",52,54
"71",50,55
"72",51,55
