"","x"
"1",9.379
"2",8.605
"3",0.037
"4",8.444
"5",6.309
"6",0
"7",6.833
"8",8.816
"9",0.204
"10",0.054
"11",8.944
"12",9.942
"13",9.237
"14",10.282
"15",3.428
"16",-0.029
"17",10.068
"18",9.465
"19",10.978
"20",-0.034
"21",8.866
"22",10.938
"23",10.112
"24",0
"25",0.635
"26",0.154
"27",3.678
"28",10.231
"29",9.804
"30",10.553
"31",9.995
"32",0.155
"33",0.21
"34",0.172
"35",0
"36",10.445
"37",0
"38",10.554
"39",0
"40",4.621
"41",0.047
"42",0.195
"43",0
"44",0
"45",0.185
"46",0
"47",4.079
"48",0.144
"49",0
"50",-0.205
"51",0.042
"52",0
"53",0
"54",0
"55",1.837
"56",-0.056
"57",-0.273
