"","x"
"1",9.423
"2",8.816
"3",8.944
"4",9.942
"5",10.527
"6",10.765
"7",10.146
"8",9.237
"9",10.282
"10",10.564
"11",10.156
"12",10.068
"13",9.465
"14",10.978
"15",8.866
"16",10.938
"17",10.112
"18",10.896
"19",3.678
"20",10.231
"21",10.584
"22",9.804
"23",10.143
"24",10.501
"25",10.302
"26",10.817
"27",10.553
"28",9.995
"29",11.471
"30",12.294
"31",11.816
"32",10.445
"33",10.554
"34",4.621
"35",10.659
"36",0.195
"37",11.537
"38",11.813
"39",11.748
"40",12.085
"41",11.322
"42",11.012
"43",4.079
"44",11.623
"45",10.908
"46",12.259
"47",10.334
"48",11.595
"49",1.837
"50",10.732
