"","x"
"1",15.571
"2",15.787
"3",15.719
"4",13.501
"5",14.151
"6",14.31
"7",13.51
"8",9.95
"9",10.966
"10",11.738
"11",6.149
"12",15.855
"13",13.702
"14",13.562
"15",14.405
"16",11.789
"17",11.989
"18",7.176
"19",11.352
"20",7.949
"21",6.802
"22",15.266
"23",14.884
"24",10.224
"25",13.36
"26",8.852
"27",16.051
"28",15.951
"29",14.11
"30",10.074
"31",9.853
"32",16.058
"33",15.866
"34",14.909
"35",12.128
"36",15.724
"37",11.34
"38",15.487
"39",9.172
"40",12.833
"41",16.047
"42",15.095
"43",15.489
"44",14.353
"45",12.317
"46",11.608
"47",12.724
"48",13.518
"49",15.328
"50",16.353
"51",15.397
"52",13.368
"53",13.909
"54",11.746
"55",14.988
"56",11.655
"57",14.561
"58",13.419
"59",13.466
"60",12.224
"61",12.801
"62",14.336
"63",13.999
"64",11.999
"65",11.951
"66",12.194
"67",13.812
"68",13.462
"69",14.858
"70",12.196
"71",14.163
"72",15.033
