"","x"
"1",14.667
"2",14.729
"3",14.58
"4",14.759
"5",14.11
"6",14.798
"7",14.989
"8",14.909
"9",14.976
"10",12.128
"11",14.754
"12",15.89
"13",16.286
"14",16.347
"15",16.718
"16",14.353
"17",15.547
"18",16.13
"19",17.231
"20",17.337
"21",13.518
"22",16.267
"23",15.397
"24",15.792
"25",17.437
"26",16.289
"27",16.641
"28",13.909
"29",17.174
"30",16.59
"31",15.17
"32",16.806
"33",16.024
"34",16.232
"35",15.549
"36",15.994
"37",17.539
"38",15.824
"39",17.656
"40",15.574
"41",17.402
"42",16.852
"43",15.671
