"","x"
"1",20.298
"2",19.495
"3",20.574
"4",20.254
"5",19.519
"6",20.125
"7",22.341
"8",20.537
"9",22.58
"10",22.309
"11",20.856
"12",23.476
"13",23.22
"14",23.491
"15",20.821
"16",22.169
"17",22.164
"18",22.205
"19",25.573
"20",21.655
"21",22.113
"22",23.889
"23",21.694
"24",25.687
"25",21.319
"26",25.899
"27",16.679
"28",18.281
"29",22.253
"30",22.645
"31",23.737
"32",22.356
"33",19.16
"34",22.739
"35",22.742
"36",18.42
"37",17.122
"38",22.347
"39",24.208
"40",22.835
"41",23.336
"42",18.64
"43",17.266
"44",17.381
"45",17.645
"46",21.556
