"","x"
"1",12.694
"2",13.071
"3",10.005
"4",13.92
"5",13.247
"6",10.662
"7",12.25
"8",1.747
"9",12.073
"10",14.267
"11",11.716
"12",11.251
"13",9.984
"14",13.892
"15",12.626
"16",12.464
"17",9.018
"18",8.891
"19",12.401
"20",13.597
"21",13.151
"22",12.505
"23",10.21
"24",10.274
"25",11.569
"26",13.662
"27",9.012
"28",9.921
"29",12.571
"30",10.844
"31",13.494
"32",13.953
"33",13.742
"34",11.742
"35",12.939
"36",10.807
"37",12.813
"38",13.706
"39",10.433
"40",11.841
"41",13.53
"42",12.634
"43",12.872
"44",12.515
"45",11.966
"46",13.147
"47",10.373
"48",12.48
"49",12.465
"50",10.787
