"","weight"
"1",0.646107266524136
"2",0.512442777598806
"3",0.32177569912157
"4",0.400922935756799
"5",0.788032867492177
"6",0.435999082994538
"7",0.309360631341605
"8",0.86833173454105
"9",0.964037862824807
"10",0.955196314409446
"11",1.72839972244766
"12",1.56604597619902
"13",0.551163315172293
"14",0.458629480023205
"15",2.3056289337726
"16",0.500540707649394
"17",2.28999372446435
"18",0.525904934376442
"19",2.28271318371357
"20",1.62212083392622
"21",0.49388358950911
"22",0.466630474921982
"23",0.508432099961646
"24",0.449632071933072
"25",0.264491966226522
"26",5.15864406606855
"27",0.31890437403393
"28",0.54643297842465
"29",0.261091938233054
"30",0.491386813020297
"31",0.356925482710718
"32",0.557673739773841
"33",0.825891651365354
"34",0.719531097305569
"35",0.490918526960685
"36",0.550255395683066
"37",0.800187478294016
"38",1.21523701410704
