"","weight"
"1",0.701141926027817
"2",1.32386153325159
"3",1.85827877356769
"4",1.827071147953
"5",1.19188967601327
"6",1.8427685693998
"7",1.26249594065983
"8",3.04188116159966
"9",2.75151885338486
"10",1.84469211525324
"11",2.54519174133852
"12",2.56507329324945
"13",0.835756543093657
"14",1.98078873161462
"15",4.50192669880427
"16",1.19749906055269
"17",1.75473274336323
"18",1.61683944802016
"19",1.57069373228409
"20",1.68074061028457
"21",0.787118796837967
"22",2.57634159210668
"23",2.99132495724971
"24",1.10498687757179
"25",0.898514885821717
"26",3.75294031409698
"27",3.75254700175287
"28",0.824335490204512
"29",3.66834853851906
"30",4.43499954902969
"31",2.09653905266551
"32",2.17150731067839
