"","x"
"1",1.037
"2",3.264
"3",7.701
"4",-0.214
"5",7.941
"6",5.628
"7",0.311
"8",0.204
"9",-0.002
"10",9.153
"11",0.004
"12",0
"13",0
"14",0
"15",6.119
"16",0
"17",8.711
"18",0
"19",5.876
"20",0.273
"21",8.541
"22",-0.301
"23",-0.278
"24",-0.23
"25",1.473
"26",10.978
"27",6.251
"28",0
"29",0.149
"30",0.857
"31",6.385
"32",1.654
"33",1.188
"34",0
"35",1.829
"36",0
"37",6.416
"38",1.157
"39",0
"40",6.253
"41",2.283
"42",0.835
"43",2.405
"44",0
"45",0.863
"46",0.107
"47",0.416
"48",0.566
"49",0
"50",0.572
"51",13.718
"52",2.812
"53",11.59
"54",12.338
"55",0.651
"56",1.927
"57",-0.083
"58",9.199
"59",0
"60",0.44
"61",0.887
"62",0
"63",11.27
"64",0.65
"65",10.937
