"","x"
"1",8.252
"2",15.243
"3",14.053
"4",15.146
"5",7.455
"6",5.823
"7",14.264
"8",14.488
"9",15.522
"10",15.415
"11",14.166
"12",9.058
"13",14.174
"14",15.361
"15",10.794
"16",14.057
"17",14.634
"18",15.968
"19",15.4
"20",15.073
"21",5.715
"22",14.731
"23",15.493
"24",15.842
"25",14.12
"26",15.845
"27",15.365
"28",10.502
"29",15.761
"30",8.589
"31",2.773
"32",15.973
"33",10.422
"34",15.706
"35",1.533
"36",6.066
"37",13.682
"38",12.359
"39",6.082
"40",7.66
"41",11.48
"42",14.021
"43",14.974
"44",12.098
"45",12.09
"46",13.453
"47",9.783
"48",4.898
"49",6.681
"50",2.977
"51",6.27
