"","x"
"1",8.252
"2",7.455
"3",5.823
"4",3.178
"5",14.264
"6",14.488
"7",9.058
"8",14.174
"9",10.794
"10",5.045
"11",14.057
"12",14.634
"13",15.4
"14",15.073
"15",5.715
"16",14.731
"17",14.12
"18",10.502
"19",8.589
"20",2.773
"21",15.973
"22",10.422
"23",1.4
"24",1.533
"25",6.066
"26",13.682
"27",12.359
"28",6.082
"29",7.66
"30",11.48
"31",14.021
"32",14.974
"33",12.098
"34",12.09
"35",14.572
"36",13.453
"37",15.002
"38",9.783
"39",4.898
"40",1.348
"41",6.681
"42",1.162
"43",1.889
"44",2.977
"45",14.115
"46",6.27
