"","weight"
"1",1.70493518939502
"2",1.05361985567733
"3",1.77389430317882
"4",1.20061209383929
"5",1.52151240525912
"6",1.54615296802675
"7",2.09561661590126
"8",1.5494905613794
"9",1.23208806511039
"10",1.77215264636295
"11",0.976754319232203
"12",2.97994026789656
"13",1.9051879169732
"14",1.7899634075906
"15",1.62425859972812
"16",1.27675369579015
"17",0.726457844517203
"18",1.51281492607508
"19",1.62994398686313
"20",1.50554840503688
"21",1.48883699590136
"22",0.615588336386831
"23",0.573616596807559
"24",0.138765990042432
"25",2.44609893493652
"26",2.23549211580985
"27",1.83009316724078
"28",1.51170797473315
"29",1.46245991422579
"30",1.86221937464494
"31",1.7627901178861
"32",1.65553616635737
"33",0.348975643747573
"34",1.79502200618036
"35",1.82370611596801
"36",0.373127324044724
"37",0.721751341912116
"38",0.631981011851324
"39",0.576172891106434
"40",0.581432713531108
