"","V1","V2"
"1",1,7
"2",3,7
"3",4,9
"4",2,10
"5",6,10
"6",6,11
"7",5,13
"8",7,13
"9",3,14
"10",7,14
"11",1,15
"12",9,15
"13",4,16
"14",8,18
"15",12,18
"16",12,19
"17",17,19
"18",10,20
"19",12,21
"20",12,22
"21",18,22
"22",13,23
"23",14,23
"24",21,23
"25",15,24
"26",20,24
"27",21,24
"28",20,25
"29",11,26
"30",13,27
"31",14,28
"32",15,28
"33",20,29
"34",24,29
"35",25,29
"36",26,30
"37",29,30
"38",25,31
"39",27,32
"40",24,33
"41",23,34
"42",28,34
"43",33,34
"44",22,35
"45",23,36
"46",32,36
"47",30,37
"48",25,38
"49",29,38
"50",31,39
"51",34,40
"52",17,42
"53",35,42
"54",37,42
"55",24,43
"56",29,43
"57",33,43
"58",39,43
"59",31,44
"60",38,44
"61",39,44
"62",41,44
"63",23,45
"64",39,46
"65",35,47
"66",36,47
"67",45,47
"68",45,49
"69",43,50
"70",48,51
"71",50,51
"72",40,52
"73",49,52
"74",50,52
"75",37,54
"76",42,54
"77",37,55
"78",53,55
"79",44,56
"80",38,57
"81",44,57
"82",53,57
"83",56,57
"84",43,58
"85",50,58
"86",36,59
"87",46,60
"88",46,61
"89",51,61
"90",56,61
"91",58,61
"92",60,61
"93",53,62
"94",57,62
"95",58,62
"96",53,63
"97",55,63
"98",57,63
"99",45,64
