"","x"
"1",14.879
"2",14.328
"3",14.559
"4",15.594
"5",15.117
"6",14.722
"7",15.432
"8",15.256
"9",14.906
"10",16.276
"11",16.674
"12",12.322
"13",14.827
"14",14.224
"15",12.938
"16",16.399
"17",13.135
"18",18.162
"19",15.75
"20",17.571
"21",15.779
"22",12.83
"23",18.211
"24",12.438
"25",17.25
"26",13.232
"27",17.917
"28",12.434
"29",17.604
"30",14.503
"31",16.38
"32",12.274
"33",17.281
"34",12.584
"35",20.26
"36",18.269
"37",14.859
"38",14.412
"39",15.202
"40",14.783
"41",14.035
"42",15.562
"43",15.811
"44",19.268
"45",13.288
"46",13.414
"47",17.802
"48",15.544
"49",18.084
"50",14.189
