"","x"
"1",15.178
"2",15.362
"3",21.811
"4",21.738
"5",17.967
"6",22.793
"7",18.348
"8",14.627
"9",22.112
"10",23.675
"11",26.092
"12",22.492
"13",22.801
"14",19.076
"15",24.94
"16",25.383
"17",19.24
"18",22.567
"19",22.072
"20",17.744
"21",20.467
"22",26.131
"23",25.236
"24",18.018
"25",20.538
"26",23.673
"27",18.627
"28",21.253
"29",20.158
"30",21.55
"31",20.565
"32",21.986
"33",19.812
"34",21.723
"35",19.344
"36",18.081
"37",17.124
"38",22.698
"39",21.759
"40",20.689
"41",20.389
"42",21.982
"43",21.024
"44",20.708
"45",20.881
"46",21.415
"47",17.92
"48",18.242
