"","x"
"1",15.362
"2",21.738
"3",17.967
"4",22.793
"5",18.348
"6",22.112
"7",23.675
"8",22.801
"9",19.076
"10",22.489
"11",24.94
"12",22.567
"13",22.072
"14",17.744
"15",20.467
"16",25.236
"17",18.018
"18",20.538
"19",23.673
"20",18.627
"21",21.253
"22",20.158
"23",21.55
"24",20.565
"25",21.986
"26",19.812
"27",21.723
"28",19.344
"29",18.081
"30",17.124
"31",22.698
"32",21.759
"33",20.689
"34",19.466
"35",20.389
"36",21.982
"37",21.024
"38",20.708
"39",20.881
"40",21.415
"41",19.55
"42",23.971
"43",16.697
"44",17.92
"45",18.242
"46",20.471
"47",23.06
