"","V1","V2"
"1",2,3
"2",1,7
"3",4,7
"4",3,8
"5",3,11
"6",6,11
"7",5,12
"8",8,12
"9",9,12
"10",3,13
"11",7,13
"12",11,14
"13",9,15
"14",10,15
"15",9,16
"16",10,16
"17",15,16
"18",13,17
"19",12,18
"20",7,19
"21",7,20
"22",8,20
"23",10,21
"24",15,21
"25",16,21
"26",16,22
"27",21,22
"28",4,23
"29",19,23
"30",20,23
"31",18,24
"32",20,24
"33",9,25
"34",15,25
"35",18,25
"36",22,25
"37",23,26
"38",24,27
"39",26,28
"40",27,28
"41",27,29
"42",18,30
"43",28,30
"44",26,31
"45",28,31
"46",29,32
"47",30,32
"48",25,33
"49",30,33
"50",32,34
"51",27,35
"52",31,35
"53",28,36
"54",33,37
"55",34,37
