"","V1","V2"
"1",1,2
"2",1,4
"3",3,5
"4",2,6
"5",1,7
"6",3,7
"7",5,7
"8",4,8
"9",8,10
"10",9,11
"11",4,14
"12",6,14
"13",7,14
"14",9,14
"15",10,14
"16",10,15
"17",10,16
"18",12,17
"19",12,18
"20",13,18
"21",11,19
"22",18,20
"23",16,21
"24",17,21
"25",20,22
"26",21,23
"27",23,25
"28",24,25
"29",14,26
"30",22,27
"31",26,27
"32",22,28
"33",24,29
"34",25,30
"35",23,31
"36",27,31
"37",30,31
"38",27,32
"39",28,33
"40",32,33
"41",33,34
"42",26,35
"43",29,36
"44",30,36
"45",19,37
"46",35,37
"47",34,39
"48",35,40
"49",36,40
"50",40,41
"51",40,42
"52",38,43
"53",37,44
"54",37,45
"55",44,45
"56",40,46
"57",35,47
"58",38,47
"59",42,47
"60",43,47
