"","x"
"1",0.783
"2",2.733
"3",6.4
"4",2.459
"5",0.831
"6",7.298
"7",2.069
"8",0.565
"9",0.418
"10",7.755
"11",6.696
"12",2.705
"13",6.587
"14",5.483
"15",0.381
"16",0.264
"17",5.247
"18",0.42
"19",0.475
"20",6.945
"21",0.495
"22",5.766
"23",0.577
"24",2.861
"25",0.38
"26",0.488
"27",0.483
"28",0.492
"29",0.496
"30",6.071
"31",0.634
"32",0.582
"33",0.535
"34",0.942
"35",0.672
"36",0.674
"37",0.567
"38",0.642
"39",0.841
"40",0.877
"41",1.977
"42",1.232
"43",0.843
"44",1.251
"45",2.675
"46",4.874
"47",1.58
"48",4.296
