"","x"
"1",2.496
"2",2.743
"3",1.712
"4",2.405
"5",8.252
"6",3.809
"7",4.033
"8",2.655
"9",7.455
"10",5.823
"11",3.178
"12",9.058
"13",14.174
"14",10.794
"15",5.045
"16",3.064
"17",5.715
"18",14.731
"19",10.502
"20",8.589
"21",2.773
"22",0
"23",10.422
"24",0
"25",0
"26",1.4
"27",-0.1
"28",1.533
"29",6.066
"30",13.682
"31",12.359
"32",-0.148
"33",6.082
"34",7.66
"35",11.48
"36",14.021
"37",12.098
"38",12.09
"39",0
"40",13.453
"41",9.783
"42",4.898
"43",1.348
"44",6.681
"45",1.889
"46",2.977
"47",6.27
