"","x"
"1",16.375
"2",12.418
"3",14.225
"4",14.162
"5",13.2
"6",11.891
"7",14.17
"8",14.333
"9",14.082
"10",13.726
"11",12.751
"12",14.864
"13",14.449
"14",14.415
"15",11.896
"16",14.51
"17",11.86
"18",14.296
"19",13.825
"20",13.205
"21",12.422
"22",11.603
"23",13.769
"24",11.189
"25",12.107
"26",13.087
"27",14.81
"28",10.957
"29",11.851
"30",11.532
"31",8.065
"32",14.863
"33",10.478
"34",11.67
"35",11.846
"36",8.321
"37",12.906
"38",15.227
"39",13.898
"40",12.107
"41",7.618
"42",15.655
"43",12.033
"44",12.781
"45",12.104
"46",12.872
"47",9.011
