"","V1","V2"
"1",1,2
"2",3,4
"3",2,5
"4",3,6
"5",5,7
"6",3,9
"7",7,9
"8",7,11
"9",11,13
"10",12,14
"11",13,14
"12",10,15
"13",8,16
"14",8,17
"15",9,17
"16",10,17
"17",15,17
"18",13,18
"19",14,19
"20",15,19
"21",9,20
"22",16,20
"23",18,21
"24",20,22
"25",7,23
"26",22,23
"27",9,24
"28",14,24
"29",23,24
"30",18,25
"31",21,25
"32",23,26
"33",22,27
"34",23,27
"35",22,28
"36",25,29
"37",26,30
"38",27,30
"39",27,31
"40",17,32
"41",26,33
"42",24,34
"43",33,34
"44",19,35
"45",32,35
"46",24,36
"47",32,36
"48",35,36
