"","weight"
"1",0.998433272785363
"2",1.92041662141757
"3",1.94064422303765
"4",0.885663592962163
"5",1.99062804161006
"6",1.36619910738265
"7",1.3729530219204
"8",1.16284134794502
"9",1.12004464224866
"10",2.18764713768176
"11",1.17136672332325
"12",2.17910532054549
"13",2.21162835917578
"14",1.94064422289727
"15",5.77642936424754
"16",1.52118374916831
"17",1.52013157376864
"18",2.03061567011637
"19",0.938136451283653
"20",1.49003355673404
"21",0.938136450529173
"22",6.79909298361952
"23",3.33398200368499
"24",5.90551852085111
"25",3.30441235319367
"26",3.75825757511748
"27",3.66661969703342
"28",6.04235838061598
"29",4.13728123280753
"30",4.81752259979455
"31",6.02128067778082
