"","V1","V2"
"1",1,3
"2",2,3
"3",3,8
"4",8,9
"5",8,10
"6",7,11
"7",4,13
"8",5,13
"9",5,14
"10",6,14
"11",14,15
"12",7,16
"13",10,16
"14",11,17
"15",12,17
"16",8,18
"17",11,19
"18",16,19
"19",13,20
"20",14,20
"21",18,20
"22",9,21
"23",19,22
"24",20,23
"25",12,25
"26",18,26
"27",22,26
"28",22,27
"29",25,27
"30",23,28
"31",23,29
"32",21,30
"33",21,31
"34",22,31
"35",26,31
"36",30,31
"37",24,32
"38",25,32
"39",24,33
"40",32,33
"41",28,34
"42",29,34
"43",29,35
"44",24,36
"45",26,37
"46",27,38
"47",31,38
"48",30,39
"49",37,39
"50",38,40
"51",24,41
"52",37,41
"53",34,42
"54",35,42
"55",41,42
"56",39,43
"57",40,43
"58",40,44
"59",42,45
"60",43,46
"61",44,46
