"","V1","V2"
"1",1,3
"2",2,4
"3",3,6
"4",4,18
"5",5,7
"6",5,14
"7",5,16
"8",6,13
"9",6,14
"10",6,17
"11",8,15
"12",8,17
"13",9,12
"14",10,18
"15",10,25
"16",11,16
"17",11,17
"18",11,18
"19",11,19
"20",12,15
"21",12,21
"22",13,30
"23",13,34
"24",15,29
"25",16,23
"26",17,19
"27",18,24
"28",19,29
"29",20,22
"30",20,23
"31",20,30
"32",21,28
"33",21,29
"34",22,23
"35",23,27
"36",23,38
"37",24,25
"38",24,26
"39",24,32
"40",26,27
"41",28,33
"42",29,31
"43",29,33
"44",29,34
"45",30,35
"46",33,36
"47",33,37
"48",34,35
"49",36,37
