"","x"
"1",16.611
"2",18.853
"3",1.242
"4",17.562
"5",17.471
"6",15.671
"7",1.469
"8",18.205
"9",1.267
"10",16.654
"11",19.672
"12",16.516
"13",18.519
"14",14.244
"15",17.357
"16",18.999
"17",16.052
"18",17.982
"19",17.503
"20",17.159
"21",12.138
"22",18.607
"23",17.966
"24",17.077
"25",18.822
"26",0.874
"27",18.879
"28",15.79
"29",16.741
"30",11.412
"31",13.389
"32",15.212
"33",18.021
"34",18.325
"35",16.851
"36",1.169
"37",18.683
"38",18.06
"39",13.675
"40",17.474
"41",16.227
"42",17.682
"43",14.67
"44",19.26
