"","x"
"1",27.11
"2",25.306
"3",27.359
"4",24.071
"5",24.455
"6",26.838
"7",24.726
"8",23.292
"9",26.816
"10",28.37
"11",24.247
"12",24.556
"13",26.728
"14",28.209
"15",26.076
"16",28.877
"17",23.264
"18",21.637
"19",23.418
"20",20.44
"21",24.679
"22",23.43
"23",27.834
"24",23.413
"25",28.614
"26",23.885
"27",28.177
"28",23.679
"29",23.335
"30",22.083
"31",28.451
"32",21.975
"33",28.063
"34",22.016
"35",21.502
"36",21.669
"37",25.47
"38",21.745
"39",21.894
"40",21.936
"41",19.698
"42",24.939
"43",24.427
"44",20.498
"45",24.133
"46",24.222
"47",23.43
"48",23.423
"49",24.18
