"","x"
"1",9.005
"2",9.106
"3",8.727
"4",9.107
"5",9.39
"6",8.938
"7",8.797
"8",9.375
"9",9.303
"10",9.133
"11",8.454
"12",6.338
"13",9.495
"14",9.303
"15",9.509
"16",7.007
"17",7.882
"18",6.982
"19",8.531
"20",10.262
"21",6.66
"22",9.05
"23",10.067
"24",10.681
"25",10.099
"26",9.042
"27",8.54
"28",8.277
"29",5.997
"30",7.886
"31",9.78
"32",8.583
"33",9.607
"34",10.928
"35",10.21
"36",10.186
"37",10.771
"38",10.478
"39",10.579
"40",8.785
"41",5.798
"42",9.466
"43",8.025
"44",4.492
"45",9.627
"46",10.347
"47",9.44
"48",11.467
