"","x"
"1",12.987
"2",19.943
"3",17.634
"4",12.744
"5",20.518
"6",10.06
"7",18.202
"8",17.442
"9",15.069
"10",20.721
"11",19.096
"12",17.052
"13",18.525
"14",19.737
"15",19.591
"16",19.27
"17",19.627
"18",18.59
"19",15.91
"20",14.268
"21",18.376
"22",13.841
"23",20.407
"24",19.158
"25",19.566
"26",15.409
"27",19.127
"28",18.189
"29",13.583
"30",21.374
"31",17.066
"32",19.052
"33",14.57
"34",19.521
"35",19.45
"36",15.807
"37",14.629
"38",16.177
"39",13.943
"40",14.139
"41",16.143
"42",14.145
"43",14.062
"44",14.269
"45",15.192
"46",14.941
"47",15.355
"48",14.143
