"","x"
"1",5.673
"2",0.728
"3",0
"4",0
"5",0
"6",0
"7",5.873
"8",5.205
"9",3.277
"10",0
"11",0.672
"12",3.688
"13",5.544
"14",5.32
"15",0.569
"16",6.395
"17",6.031
"18",0.579
"19",6.361
"20",0.183
"21",2.76
"22",4.93
"23",4.297
"24",0.117
"25",3.86
"26",5.476
"27",0
"28",5.271
"29",0
"30",5.497
"31",0.624
"32",0.457
"33",6.17
"34",0.428
"35",6.459
"36",2.899
"37",0.094
"38",4.588
"39",4.488
"40",5.581
"41",0.048
"42",0
"43",4.996
"44",5.531
"45",4.716
"46",4.24
"47",0
"48",5.483
"49",5.391
"50",5.912
"51",5.071
"52",0.425
"53",4.822
"54",5.129
"55",5.369
"56",5.139
"57",4.983
"58",0.073
"59",0
"60",0.555
"61",0.071
"62",5.764
"63",5.732
"64",5.202
"65",4.615
"66",-0.042
"67",-0.045
"68",0.055
"69",5.361
"70",0
"71",0
