"","x"
"1",10.518
"2",10.324
"3",8.342
"4",10.085
"5",8.414
"6",9.205
"7",9.784
"8",9.273
"9",10.21
"10",9.09
"11",10.634
"12",11.381
"13",10.101
"14",10.641
"15",10.655
"16",10.963
"17",11.399
"18",9.617
"19",9.706
"20",11.475
"21",12.428
"22",12.353
"23",10.438
"24",11.001
"25",10.842
"26",4.698
"27",6.882
"28",10.176
"29",8.708
"30",11.201
"31",9.953
"32",10.803
"33",12.916
"34",11.992
"35",12.241
"36",10.519
"37",12.429
"38",11.25
"39",11.096
"40",9.871
"41",12.94
"42",11.822
"43",11.46
"44",9.522
"45",6.068
"46",9.353
