"","V1","V2"
"1",2,4
"2",1,5
"3",3,7
"4",2,9
"5",5,9
"6",7,9
"7",4,10
"8",8,10
"9",6,11
"10",7,11
"11",9,12
"12",10,12
"13",12,14
"14",11,15
"15",13,17
"16",12,18
"17",17,18
"18",16,19
"19",14,20
"20",15,20
"21",5,21
"22",12,21
"23",15,21
"24",16,21
"25",18,22
"26",13,23
"27",17,23
"28",21,23
"29",16,24
"30",23,25
"31",12,26
"32",18,26
"33",23,27
"34",20,28
"35",24,28
"36",20,29
"37",26,30
"38",27,30
"39",23,31
"40",25,31
"41",27,31
"42",28,32
"43",29,32
"44",27,33
"45",29,33
"46",30,33
"47",32,33
"48",30,34
"49",32,35
"50",35,36
