"","weight"
"1",0.868778452738835
"2",1.98622657311003
"3",2.02387969010405
"4",1.63643667771081
"5",0.50546612170904
"6",1.27607248989065
"7",1.4958529338053
"8",0.491691976286939
"9",1.34350437261924
"10",0.584658019084019
"11",1.33813639068553
"12",2.65239684067537
"13",1.13815816163289
"14",3.26934244155122
"15",3.3216387522316
"16",0.994358587516649
"17",1.29596913564011
"18",4.02035406408717
"19",1.10007681552188
"20",0.449448551609102
"21",1.224718743248
"22",1.15629425326159
"23",0.450550773977304
"24",0.27730128011503
"25",0.800647238081854
"26",3.7005011823359
"27",0.462265075531617
