"","x"
"1",21.005
"2",20.564
"3",20.976
"4",14.551
"5",21.203
"6",18.394
"7",21.268
"8",16.733
"9",17.203
"10",14.548
"11",21.01
"12",20.274
"13",19.574
"14",21.476
"15",21.131
"16",21.482
"17",17.06
"18",19.238
"19",20.666
"20",19.425
"21",19.769
"22",8.946
"23",14.399
"24",16.881
"25",19.858
"26",19.784
"27",20.922
"28",20.394
"29",21.325
"30",19.463
"31",19.34
"32",18.751
"33",20.044
"34",19.827
"35",21.418
"36",20.146
"37",21.247
"38",16.323
"39",20.495
"40",18.555
"41",20.999
"42",17.21
"43",15.916
"44",17.295
"45",15.953
"46",16.488
"47",20.391
"48",21.213
"49",17.508
"50",17.109
"51",16.385
"52",18.224
"53",14.399
