"","x"
"1",6.081
"2",6.769
"3",6.831
"4",7.354
"5",7.17
"6",8.786
"7",7.929
"8",10.838
"9",5.656
"10",6.218
"11",7.961
"12",8.584
"13",7.974
"14",6.615
"15",8.586
"16",7.317
"17",4.948
"18",7.556
"19",7.757
"20",6.897
"21",9.833
"22",7.736
"23",7.136
"24",5.298
"25",9.237
"26",11.142
"27",7.362
"28",7.025
"29",5.2
"30",5.974
"31",2.696
"32",10.266
"33",9.974
"34",7.448
"35",5.899
"36",6.323
"37",5.074
"38",4.086
"39",5.654
"40",6.821
"41",7.459
"42",5.862
"43",7.431
"44",6.268
"45",6.878
"46",6.359
"47",5.093
"48",8.886
"49",7.521
"50",8.5
"51",7.296
"52",1.517
"53",6.963
"54",5.111
