"","x"
"1",4.124
"2",2.405
"3",8.27
"4",9.46
"5",3.087
"6",2.337
"7",6.813
"8",8.055
"9",8.53
"10",8.398
"11",2.827
"12",4.075
"13",6.359
"14",6.601
"15",3.687
"16",5.604
"17",3.459
"18",6.687
"19",7.638
"20",9.728
"21",0.633
"22",6.886
"23",0.91
"24",1.225
"25",5.987
"26",3.559
"27",7.742
"28",6.444
"29",6.419
"30",7.51
"31",6.883
"32",2.737
"33",8.118
"34",1.708
"35",1.096
"36",4.823
"37",7.351
"38",1.488
"39",10.409
"40",2.202
"41",4.6
"42",3.737
"43",3.863
"44",2.859
"45",6.251
"46",7.372
"47",4.642
