"","x"
"1",12.923
"2",11.85
"3",12.381
"4",14.31
"5",3.722
"6",4.29
"7",12.244
"8",11.587
"9",13.652
"10",13.578
"11",4.211
"12",9.796
"13",11.571
"14",4.433
"15",12.831
"16",11.183
"17",12.536
"18",9.712
"19",3.984
"20",2.166
"21",11.24
"22",12.334
"23",13.654
"24",10.238
"25",11.738
"26",12.659
"27",10.376
"28",13.943
"29",8.863
"30",13.747
"31",10.328
"32",9.751
"33",9.948
"34",11.344
"35",9.495
"36",13.842
"37",14.612
"38",13.467
"39",14.485
"40",11.458
"41",9.641
"42",13.538
"43",11.14
"44",7.146
"45",11.703
"46",11.017
"47",9.543
"48",11.261
"49",13.823
"50",14.156
"51",9.252
"52",9.496
"53",12.967
"54",11.765
"55",10.625
"56",11.851
