"","weight"
"1",0.27820855466251
"2",0.955479460615513
"3",1.02063509660828
"4",2.26232270033988
"5",1.78989832104474
"6",2.1631606504208
"7",0.909832951834826
"8",1.5986106468238
"9",0.980840965666737
"10",1.06775512165415
"11",1.82452212928596
"12",3.63713744586641
"13",1.88672229006563
"14",2.92357931312576
"15",0.606280462908071
"16",0.961353212901793
"17",0.854870750606715
"18",1.91199607715673
"19",1.20433425563655
"20",2.00528202504429
"21",2.25905754688482
"22",0.683316179024132
"23",3.53584912022748
"24",3.18455585605298
"25",1.240833993686
"26",0.719780522610995
"27",0.459765157782416
"28",2.12242809056548
"29",0.544397832242224
"30",3.23947526608821
"31",1.04114552279802
"32",0.841318013486851
"33",1.27157382806599
"34",1.17596088426327
"35",0.73479588954295
"36",2.58269723381053
"37",3.53482672851712
