"","V1","V2"
"1",1,3
"2",2,4
"3",3,5
"4",3,6
"5",7,9
"6",8,9
"7",7,10
"8",3,11
"9",6,11
"10",5,12
"11",11,12
"12",5,13
"13",9,14
"14",10,14
"15",11,15
"16",10,16
"17",6,17
"18",14,17
"19",4,18
"20",12,18
"21",18,19
"22",16,21
"23",14,22
"24",16,22
"25",20,24
"26",21,24
"27",11,25
"28",19,25
"29",21,26
"30",22,26
"31",22,27
"32",17,28
"33",25,29
"34",4,30
"35",13,30
"36",23,30
"37",25,32
"38",28,33
"39",29,33
"40",30,33
"41",30,34
"42",31,34
"43",30,35
"44",34,35
"45",28,36
"46",24,38
"47",36,38
"48",35,40
"49",36,40
"50",37,41
"51",38,41
"52",38,42
"53",39,42
"54",42,43
"55",41,44
"56",42,44
"57",33,45
"58",40,45
