"","weight"
"1",1.11646764412061
"2",1.51339570524658
"3",1.45494555231639
"4",0.871148667298339
"5",1.65818696189098
"6",1.27129854873698
"7",1.24164568209027
"8",0.961353212253873
"9",2.61510305728461
"10",0.779358711168936
"11",4.87519271410825
"12",4.03897561266383
"13",4.8420656748806
"14",1.36341483060957
"15",1.48141823954148
"16",1.35679769985856
"17",1.02528044935171
"18",1.27941392825758
"19",1.36623570446472
"20",2.00900472877883
"21",1.06212052046884
"22",1.28128841358792
"23",1.34104436939762
"24",1.02181211611683
"25",1.05380263817598
"26",1.28875909336836
"27",1.6085397107375
"28",2.15102301239861
"29",1.53026141537518
"30",1.20619235588552
"31",1.44312161705736
"32",1.8409236814105
