"","x"
"1",21.9
"2",19.375
"3",20.282
"4",20.784
"5",18.15
"6",18.275
"7",20.828
"8",19.89
"9",18.317
"10",19.809
"11",18.201
"12",19.678
"13",18.399
"14",19.086
"15",20.035
"16",19.883
"17",19.781
"18",21.043
"19",19.666
"20",20.225
"21",18.523
"22",20.995
"23",21.992
"24",18.133
"25",19.496
"26",20.847
"27",21.235
"28",19.812
"29",19.768
"30",21.746
"31",20.808
"32",17.776
"33",19.645
"34",17.91
"35",19.926
"36",20.014
"37",18.296
"38",18.326
"39",20.389
"40",12.791
"41",13.488
"42",18.038
"43",18.744
