"","x"
"1",8.735
"2",4.475
"3",8.889
"4",8.771
"5",9.104
"6",5.274
"7",8.976
"8",8.924
"9",11.09
"10",11.226
"11",12.13
"12",10.653
"13",4.784
"14",7.587
"15",12.326
"16",12.207
"17",12.458
"18",10.884
"19",11.556
"20",12.206
"21",13.085
"22",14.743
"23",11.661
"24",5.297
"25",11.88
"26",5.351
"27",13.575
"28",7.867
"29",3.003
"30",8.788
"31",2.733
"32",13.37
"33",11.61
"34",8.569
"35",2.883
"36",1.129
"37",7.721
"38",8.729
"39",11.866
"40",13.781
"41",8.672
"42",11.829
"43",11.801
"44",11.587
"45",13.435
"46",10.938
"47",11.765
