"","x"
"1",18.108
"2",14.118
"3",18.227
"4",15.134
"5",14.246
"6",14.203
"7",12.168
"8",17.957
"9",15.084
"10",14.204
"11",14.044
"12",15.864
"13",12.284
"14",14.721
"15",14.768
"16",11.816
"17",11.711
"18",14.525
"19",14.246
"20",16.342
"21",11.935
"22",15.187
"23",15.155
"24",14.069
"25",16.449
"26",14.708
"27",11.887
"28",14.664
"29",15.714
"30",15.723
"31",15.635
"32",15.43
"33",16.334
"34",14.884
"35",9.751
"36",16.265
"37",15.053
"38",17.119
"39",15.962
"40",14.122
"41",12.538
"42",13.927
"43",8.78
"44",13.03
"45",15.989
