"","V1","V2"
"1",1,8
"2",2,3
"3",3,4
"4",3,5
"5",3,19
"6",4,19
"7",6,9
"8",6,14
"9",7,12
"10",8,10
"11",8,11
"12",8,16
"13",9,10
"14",9,15
"15",9,23
"16",10,15
"17",11,17
"18",12,13
"19",12,17
"20",12,18
"21",14,15
"22",14,21
"23",15,16
"24",15,23
"25",16,27
"26",17,18
"27",17,22
"28",18,19
"29",18,22
"30",19,20
"31",19,25
"32",20,25
"33",20,26
"34",21,27
"35",21,28
"36",22,26
"37",22,34
"38",23,24
"39",23,28
"40",23,29
"41",25,36
"42",26,27
"43",26,35
"44",27,28
"45",27,40
"46",28,29
"47",28,31
"48",28,32
"49",28,38
"50",29,30
"51",29,31
"52",30,31
"53",30,32
"54",31,37
"55",31,38
"56",32,38
"57",32,39
"58",33,34
"59",33,39
"60",33,45
"61",34,40
"62",34,41
"63",35,36
"64",35,44
"65",36,42
"66",38,47
"67",40,44
"68",41,44
"69",42,43
"70",44,46
