"","x"
"1",6.642
"2",7.288
"3",6.959
"4",9.37
"5",9.425
"6",9.812
"7",9.715
"8",10.071
"9",9.596
"10",8.302
"11",7.429
"12",7.561
"13",8.086
"14",9.442
"15",10.159
"16",5.899
"17",9.124
"18",9.635
"19",9.086
"20",9.922
"21",8.807
"22",9.32
"23",8.498
"24",8.665
"25",8.629
"26",0
"27",1.248
"28",9.572
"29",6.06
"30",6.56
"31",6.248
"32",6.748
"33",6.992
"34",8.561
"35",9.836
"36",9.477
"37",8.924
"38",0
"39",5.96
"40",6.578
"41",6.29
"42",3.716
"43",8.924
"44",7.446
"45",8.197
"46",9.262
"47",7.643
"48",8.836
"49",7.481
"50",4.829
