"","x"
"1",4.4
"2",4.714
"3",3.958
"4",3.762
"5",3.992
"6",4.827
"7",4.329
"8",4.146
"9",3.664
"10",4.163
"11",5.387
"12",4.25
"13",7.082
"14",5.765
"15",2.926
"16",2.064
"17",5.726
"18",4.989
"19",7.343
"20",6.688
"21",7.211
"22",6.98
"23",3.962
"24",5.842
"25",4.852
"26",5.236
"27",6.305
"28",7.461
"29",7.372
"30",7.205
"31",4.209
"32",4.361
"33",8.189
"34",6.875
"35",5.797
"36",7.772
"37",7.641
"38",7.157
"39",3.617
"40",5.652
"41",7.609
"42",6.937
"43",6.734
"44",7.573
"45",6.533
"46",0.677
"47",7.204
"48",5.871
"49",0.768
