"","x"
"1",6.6
"2",4.248
"3",4.587
"4",4.878
"5",5.154
"6",4.714
"7",3.958
"8",4.539
"9",5.202
"10",4.827
"11",4.329
"12",4.146
"13",3.664
"14",4.163
"15",6.649
"16",5.387
"17",4.25
"18",7.082
"19",5.765
"20",2.926
"21",2.064
"22",5.726
"23",4.989
"24",7.343
"25",6.688
"26",7.211
"27",3.962
"28",5.842
"29",4.852
"30",5.236
"31",6.305
"32",7.461
"33",7.372
"34",4.209
"35",4.361
"36",8.189
"37",6.875
"38",5.797
"39",7.772
"40",7.157
"41",3.617
"42",5.139
"43",5.652
"44",7.609
"45",6.937
"46",6.734
"47",7.573
"48",0.677
"49",5.262
"50",5.871
"51",7.403
"52",0.768
"53",6.986
