"","x"
"1",4.714
"2",4.539
"3",5.202
"4",4.827
"5",4.329
"6",4.146
"7",4.163
"8",6.649
"9",5.387
"10",4.25
"11",7.082
"12",5.765
"13",2.926
"14",2.064
"15",5.726
"16",4.989
"17",7.343
"18",6.688
"19",7.211
"20",3.962
"21",5.842
"22",4.852
"23",5.236
"24",6.305
"25",7.461
"26",7.372
"27",7.205
"28",4.209
"29",4.361
"30",8.189
"31",6.875
"32",5.797
"33",7.772
"34",7.641
"35",7.157
"36",3.617
"37",5.139
"38",5.652
"39",7.609
"40",6.937
"41",6.734
"42",7.573
"43",6.533
"44",0.677
"45",7.204
"46",5.262
"47",5.871
"48",7.403
"49",0.768
"50",6.986
"51",6.738
