"","weight"
"1",0.70322471512084
"2",0.811922902750207
"3",0.375257777808589
"4",0.518868962043596
"5",0.664431335812717
"6",0.779612724360213
"7",0.883253078125811
"8",0.460459553187925
"9",0.958089766548904
"10",0.779864860207654
"11",3.2879172739404
"12",2.96685018164494
"13",2.14981301535804
"14",1.94790374502477
"15",1.90307146473392
"16",0.434626275861773
"17",1.59766235476519
"18",2.23273375027159
"19",2.70741574193182
"20",2.23917149855606
"21",1.55458193773704
"22",1.92102332122485
"23",2.24981977057709
"24",1.13549504590692
"25",0.571864494427949
"26",2.4711181679558
"27",1.3592483215917
"28",2.11951621836612
"29",1.83125203065576
"30",0.997999999424922
"31",0.619616009851847
"32",0.871149240842487
"33",2.02660430280835
"34",1.66682602581294
"35",0.170587220998143
"36",1.64366815495834
"37",1.87968188783987
"38",1.18891757500568
"39",1.36810123881489
"40",1.59690200073469
"41",0.44106235395716
"42",2.81839603334161
"43",1.58040785864161
"44",1.44733410098443
"45",1.43229501106057
"46",0.38269570154023
"47",0.232140043956249
"48",1.36782637784251
"49",0.450151085003284
"50",0.403588899319494
"51",0.390128184170764
"52",1.12841703307106
