"","x"
"1",1.747
"2",2.206
"3",4.745
"4",4.561
"5",4.608
"6",1.291
"7",1.723
"8",5.998
"9",2.91
"10",2.465
"11",6.244
"12",2.214
"13",6.902
"14",6.596
"15",2.043
"16",6.351
"17",2.574
"18",4.375
"19",2.045
"20",4.141
"21",2.16
"22",2.08
"23",6.719
"24",6.906
"25",6.549
"26",6.777
"27",6.149
"28",2.995
"29",2.511
"30",3.112
"31",6.006
"32",6.455
"33",6.572
"34",3.019
"35",1.086
"36",4.969
"37",6.182
"38",3.405
"39",3.201
"40",2.694
"41",5.569
"42",6.057
"43",5.106
"44",4.908
"45",5.416
"46",3.207
"47",3.012
"48",2.586
"49",5.776
"50",5.421
"51",5.636
"52",3.521
