"","x"
"1",9.39
"2",9.495
"3",9.509
"4",8.531
"5",10.099
"6",9.649
"7",8.277
"8",9.78
"9",8.583
"10",9.607
"11",10.21
"12",9.487
"13",10.579
"14",9.466
"15",8.025
"16",9.627
"17",13.019
"18",10.347
"19",15.163
"20",9.44
"21",14.911
"22",14.323
"23",13.604
"24",13.457
"25",11.925
"26",11.467
"27",15.659
"28",13.185
"29",14.557
"30",14.125
"31",12.273
"32",11.873
"33",5.23
"34",5.539
"35",14.618
"36",14.045
"37",13.86
"38",12.112
"39",10.252
"40",5.553
"41",5.651
"42",5.464
"43",15.24
"44",12.957
"45",12.154
