"","x"
"1",13.855
"2",14.223
"3",14.29
"4",13.828
"5",11.684
"6",12.841
"7",12.63
"8",11.557
"9",11.558
"10",11.659
"11",13.243
"12",11.386
"13",12.256
"14",11.532
"15",7.426
"16",13.149
"17",13.43
"18",13.402
"19",14.798
"20",11.323
"21",12.313
"22",15.354
"23",14.77
"24",12.382
"25",14.09
"26",15.252
"27",15.049
"28",14.081
"29",15.011
"30",11.568
"31",15.184
"32",11.464
"33",14.457
"34",13.338
"35",12.769
"36",12.1
"37",13.423
"38",14.087
"39",12.631
"40",9.458
"41",7.11
"42",15.111
"43",13.869
"44",12.647
"45",12.736
"46",14.134
"47",11.595
