"","x"
"1",9.876
"2",7.16
"3",3.889
"4",4.905
"5",4.661
"6",3.838
"7",2.725
"8",5.029
"9",4.013
"10",9.613
"11",3.718
"12",0.325
"13",0.412
"14",4.652
"15",9.344
"16",8.817
"17",5.522
"18",5.086
"19",4.491
"20",0.369
"21",0.367
"22",10.635
"23",2.536
"24",9.361
"25",2.381
"26",8.352
"27",5.319
"28",2.496
"29",0.351
"30",0.29
"31",2.38
"32",1.939
"33",9.395
"34",5.539
"35",0.619
"36",9.769
"37",0.615
"38",8.309
"39",0.753
"40",7.792
"41",8.404
"42",6.774
"43",6.701
"44",10.241
"45",9.652
"46",7.458
"47",7.976
"48",7.497
"49",7.47
"50",7.13
"51",6.425
"52",5.8
"53",0.423
