"","x"
"1",12.949
"2",4.781
"3",2.574
"4",8.208
"5",11.143
"6",7.761
"7",6.205
"8",9.104
"9",6.596
"10",10.51
"11",6.846
"12",8.537
"13",9.32
"14",7.518
"15",9.171
"16",7.054
"17",11.227
"18",5.387
"19",8.697
"20",7.373
"21",9.154
"22",9.799
"23",7.145
"24",8.45
"25",8.635
"26",9.938
"27",7.633
"28",5.407
"29",8.969
"30",6.434
"31",9.743
"32",3.988
"33",8.987
"34",5.727
"35",5.916
"36",7.132
"37",9.216
"38",9.754
"39",5.75
"40",8.326
"41",7.544
"42",7.635
"43",6.454
"44",6.241
"45",7.518
"46",6.563
