"","x"
"1",0
"2",4.528
"3",1.37
"4",0.381
"5",0.109
"6",4.472
"7",0.154
"8",0.077
"9",0.002
"10",0.356
"11",0.14
"12",0.086
"13",0.018
"14",0.264
"15",0
"16",0
"17",1.748
"18",0
"19",0.371
"20",0
"21",0.554
"22",0
"23",4.394
"24",4.128
"25",4.309
"26",4.226
"27",-0.306
"28",2.72
"29",-0.256
"30",-0.186
"31",2.721
"32",2.227
"33",2.207
"34",-0.213
"35",-0.259
"36",2.745
"37",-0.21
"38",2.747
"39",2.431
"40",2.711
"41",0
"42",0
"43",0
"44",2.279
"45",0
"46",0
"47",0
"48",-0.019
"49",0.117
"50",0.059
"51",-0.016
"52",0.184
"53",0
"54",0.125
"55",0
"56",0
"57",0
