"","weight"
"1",1.6746608611943
"2",2.66503733594394
"3",3.75184266748208
"4",1.22090785903862
"5",1.02988543054095
"6",0.711435731683014
"7",0.887675278567765
"8",0.754728693089714
"9",1.72407337428574
"10",0.897176125476581
"11",0.630556103722204
"12",0.79228277802116
"13",1.31915275845127
"14",0.786378789354545
"15",0.887635060013105
"16",0.850743204609393
"17",0.499988999695523
"18",2.65169772035012
"19",3.29732552247237
"20",2.55980413336978
"21",1.83335103015199
"22",1.75880431022743
"23",2.41275319989782
"24",1.19856122085201
"25",2.34465008009655
"26",1.37800580539048
"27",0.977112582527062
"28",2.41150761983823
"29",2.11071575542724
"30",2.26549862058641
"31",1.86232354862076
"32",0.738414517719205
"33",0.596821581353478
"34",2.56417409707711
"35",1.08358663735866
"36",0.533455715699367
"37",0.872811549318671
"38",0.833322866932739
"39",3.44866075457466
"40",1.72350886276702
"41",1.50427424323757
"42",1.01563822322357
"43",1.02181260530046
