"","weight"
"1",1.41835291799686
"2",1.51035393192861
"3",0.335590524340039
"4",3.84338145389251
"5",2.52817345137126
"6",0.591375515186655
"7",1.55304893679153
"8",0.447326502637826
"9",0.598728652856559
"10",1.08867993470723
"11",1.48475890296746
"12",3.80419097841264
"13",0.382572869031347
"14",0.846073873249648
"15",1.47776723463326
"16",2.1548180896236
"17",3.1939550717871
"18",3.86589653238837
"19",1.75866540303979
"20",1.94156148494999
"21",3.15672694464811
"22",5.1587654532012
"23",3.18050310486462
